"Line#","Date","Solar Radiation (S-LIB 21559981:22047692-1),W/m²,21559981"
"483","25-06-21 23:05:00 -0500","1"
"484","25-06-21 23:10:00 -0500","1"
"485","25-06-21 23:15:00 -0500","1"
"486","25-06-21 23:20:00 -0500","1"
"487","25-06-21 23:25:00 -0500","1"
"488","25-06-21 23:30:00 -0500","1"
"489","25-06-21 23:35:00 -0500","1"
"490","25-06-21 23:40:00 -0500","1"
"491","25-06-21 23:45:00 -0500","1"
"492","25-06-21 23:50:00 -0500","1"
"493","25-06-21 23:55:00 -0500","1"
"494","25-06-22 00:00:00 -0500","1"
"495","25-06-22 00:05:00 -0500","1"
"496","25-06-22 00:10:00 -0500","1"
"497","25-06-22 00:15:00 -0500","1"
"498","25-06-22 00:20:00 -0500","1"
"499","25-06-22 00:25:00 -0500","1"
"500","25-06-22 00:30:00 -0500","1"
"501","25-06-22 00:35:00 -0500","1"
"502","25-06-22 00:40:00 -0500","1"
"503","25-06-22 00:45:00 -0500","1"
"504","25-06-22 00:50:00 -0500","1"
"505","25-06-22 00:55:00 -0500","1"
"506","25-06-22 01:00:00 -0500","1"
"507","25-06-22 01:05:00 -0500","1"
"508","25-06-22 01:10:00 -0500","1"
"509","25-06-22 01:15:00 -0500","1"
"510","25-06-22 01:20:00 -0500","1"
"511","25-06-22 01:25:00 -0500","1"
"512","25-06-22 01:30:00 -0500","1"
"513","25-06-22 01:35:00 -0500","1"
"514","25-06-22 01:40:00 -0500","1"
"515","25-06-22 01:45:00 -0500","1"
"516","25-06-22 01:50:00 -0500","1"
"517","25-06-22 01:55:00 -0500","1"
"518","25-06-22 02:00:00 -0500","1"
"519","25-06-22 02:05:00 -0500","1"
"520","25-06-22 02:10:00 -0500","1"
"521","25-06-22 02:15:00 -0500","1"
"522","25-06-22 02:20:00 -0500","1"
"523","25-06-22 02:25:00 -0500","1"
"524","25-06-22 02:30:00 -0500","1"
"525","25-06-22 02:35:00 -0500","1"
"526","25-06-22 02:40:00 -0500","1"
"527","25-06-22 02:45:00 -0500","1"
"528","25-06-22 02:50:00 -0500","1"
"529","25-06-22 02:55:00 -0500","1"
"530","25-06-22 03:00:00 -0500","1"
"531","25-06-22 03:05:00 -0500","1"
"532","25-06-22 03:10:00 -0500","1"
"533","25-06-22 03:15:00 -0500","1"
"534","25-06-22 03:20:00 -0500","1"
"535","25-06-22 03:25:00 -0500","1"
"536","25-06-22 03:30:00 -0500","1"
"537","25-06-22 03:35:00 -0500","1"
"538","25-06-22 03:40:00 -0500","1"
"539","25-06-22 03:45:00 -0500","1"
"540","25-06-22 03:50:00 -0500","1"
"541","25-06-22 03:55:00 -0500","1"
"542","25-06-22 04:00:00 -0500","1"
"543","25-06-22 04:05:00 -0500","1"
"544","25-06-22 04:10:00 -0500","1"
"545","25-06-22 04:15:00 -0500","1"
"546","25-06-22 04:20:00 -0500","1"
"547","25-06-22 04:25:00 -0500","1"
"548","25-06-22 04:30:00 -0500","1"
"549","25-06-22 04:35:00 -0500","1"
"550","25-06-22 04:40:00 -0500","1"
"551","25-06-22 04:45:00 -0500","1"
"552","25-06-22 04:50:00 -0500","1"
"553","25-06-22 04:55:00 -0500","1"
"554","25-06-22 05:00:00 -0500","1"
"555","25-06-22 05:05:00 -0500","1"
"556","25-06-22 05:10:00 -0500","1"
"557","25-06-22 05:15:00 -0500","1"
"558","25-06-22 05:20:00 -0500","1"
"559","25-06-22 05:25:00 -0500","1"
"560","25-06-22 05:30:00 -0500","1"
"561","25-06-22 05:35:00 -0500","1"
"562","25-06-22 05:40:00 -0500","1"
"563","25-06-22 05:45:00 -0500","1"
"564","25-06-22 05:50:00 -0500","1"
"565","25-06-22 05:55:00 -0500","1"
"566","25-06-22 06:00:00 -0500","2"
"567","25-06-22 06:05:00 -0500","3"
"568","25-06-22 06:10:00 -0500","6"
"569","25-06-22 06:15:00 -0500","23"
"570","25-06-22 06:20:00 -0500","11"
"571","25-06-22 06:25:00 -0500","13"
"572","25-06-22 06:30:00 -0500","16"
"573","25-06-22 06:35:00 -0500","18"
"574","25-06-22 06:40:00 -0500","82"
"575","25-06-22 06:45:00 -0500","114"
"576","25-06-22 06:50:00 -0500","126"
"577","25-06-22 06:55:00 -0500","146"
"578","25-06-22 07:00:00 -0500","159"
"579","25-06-22 07:05:00 -0500","179"
"580","25-06-22 07:10:00 -0500","196"
"581","25-06-22 07:15:00 -0500","209"
"582","25-06-22 07:20:00 -0500","216"
"583","25-06-22 07:25:00 -0500","242"
"584","25-06-22 07:30:00 -0500","262"
"585","25-06-22 07:35:00 -0500","278"
"586","25-06-22 07:40:00 -0500","294"
"587","25-06-22 07:45:00 -0500","309"
"588","25-06-22 07:50:00 -0500","314"
"589","25-06-22 07:55:00 -0500","342"
"590","25-06-22 08:00:00 -0500","357"
"591","25-06-22 08:05:00 -0500","373"
"592","25-06-22 08:10:00 -0500","387"
"593","25-06-22 08:15:00 -0500","404"
"594","25-06-22 08:20:00 -0500","417"
"595","25-06-22 08:25:00 -0500","428"
"596","25-06-22 08:30:00 -0500","446"
"597","25-06-22 08:35:00 -0500","462"
"598","25-06-22 08:40:00 -0500","476"
"599","25-06-22 08:45:00 -0500","489"
"600","25-06-22 08:50:00 -0500","503"
"601","25-06-22 08:55:00 -0500","513"
"602","25-06-22 09:00:00 -0500","528"
"603","25-06-22 09:05:00 -0500","538"
"604","25-06-22 09:10:00 -0500","551"
"605","25-06-22 09:15:00 -0500","561"
"606","25-06-22 09:20:00 -0500","573"
"607","25-06-22 09:25:00 -0500","582"
"608","25-06-22 09:30:00 -0500","596"
"609","25-06-22 09:35:00 -0500","606"
"610","25-06-22 09:40:00 -0500","613"
"611","25-06-22 09:45:00 -0500","622"
"612","25-06-22 09:50:00 -0500","629"
"613","25-06-22 09:55:00 -0500","634"
"614","25-06-22 10:00:00 -0500","642"
"615","25-06-22 10:05:00 -0500","652"
"616","25-06-22 10:10:00 -0500","658"
"617","25-06-22 10:15:00 -0500","666"
"618","25-06-22 10:20:00 -0500","673"
"619","25-06-22 10:25:00 -0500","679"
"620","25-06-22 10:30:00 -0500","684"
"621","25-06-22 10:35:00 -0500","689"
"622","25-06-22 10:40:00 -0500","696"
"623","25-06-22 10:45:00 -0500","698"
"624","25-06-22 10:50:00 -0500","703"
"625","25-06-22 10:55:00 -0500","707"
"626","25-06-22 11:00:00 -0500","709"
"627","25-06-22 11:05:00 -0500","712"
"628","25-06-22 11:10:00 -0500","714"
